lineage,arm,window_number,timestamp,file,n_user_msgs,total_chars,T1,T2,T3,T5,T6,T7,T9,T10,T11
native-sol6-s1,native,1,2026-09-25T13:43:48.978Z,rollout-2026-09-25T09-24-59-01a0d8bd-9a67-7aa3-b54c-6f1581defbb2.jsonl,15,2047,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s1,native,2,2026-09-25T13:56:14.248Z,rollout-2026-09-25T09-24-59-01a0d8bd-9a67-7aa3-b54c-6f1581defbb2.jsonl,24,3001,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s1,native,3,2026-09-25T17:07:35.972Z,rollout-2026-09-25T09-24-59-01a0d8bd-9a67-7aa3-b54c-6f1581defbb2.jsonl,41,6176,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s1,native,4,2026-09-25T17:32:13.751Z,rollout-2026-09-25T09-24-59-01a0d8bd-9a67-7aa3-b54c-6f1581defbb2.jsonl,54,6816,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s10,native,1,2026-09-25T15:11:28.591Z,rollout-2026-09-25T10-52-43-01a0d90d-eca2-75f3-9a02-e156e2d011cd.jsonl,14,1886,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s10,native,2,2026-09-25T15:22:29.593Z,rollout-2026-09-25T10-52-43-01a0d90d-eca2-75f3-9a02-e156e2d011cd.jsonl,23,2840,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s2,native,1,2026-09-25T15:17:59.920Z,rollout-2026-09-25T10-54-58-01a0d90f-fd1c-79f0-8627-1742fd7f3a90.jsonl,17,2312,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s2,native,2,2026-09-25T15:29:21.070Z,rollout-2026-09-25T10-54-58-01a0d90f-fd1c-79f0-8627-1742fd7f3a90.jsonl,26,3266,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s3,native,1,2026-09-25T13:41:21.353Z,rollout-2026-09-25T09-24-59-01a0d8bd-9a2a-78e1-9c01-3c09bb3074ea.jsonl,15,2047,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s3,native,2,2026-09-25T13:51:31.840Z,rollout-2026-09-25T09-24-59-01a0d8bd-9a2a-78e1-9c01-3c09bb3074ea.jsonl,24,3001,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s3,native,3,2026-09-25T16:58:29.515Z,rollout-2026-09-25T09-24-59-01a0d8bd-9a2a-78e1-9c01-3c09bb3074ea.jsonl,44,6605,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s3,native,4,2026-09-25T17:18:15.111Z,rollout-2026-09-25T09-24-59-01a0d8bd-9a2a-78e1-9c01-3c09bb3074ea.jsonl,54,6816,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s4,native,1,2026-09-25T15:16:09.255Z,rollout-2026-09-25T10-55-49-01a0d910-c46f-74a0-8b87-0ee5a9d4f955.jsonl,18,2428,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s4,native,2,2026-09-25T15:25:45.101Z,rollout-2026-09-25T10-55-49-01a0d910-c46f-74a0-8b87-0ee5a9d4f955.jsonl,27,3382,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s5,native,1,2026-09-25T13:43:23.836Z,rollout-2026-09-25T09-24-59-01a0d8bd-9994-7fd2-9346-5bdfed653adc.jsonl,16,2196,exact,exact,exact,exact,exact,exact,exact,exact,exact
native-sol6-s5,native,2,2026-09-25T13:52:01.117Z,rollout-2026-09-25T09-24-59-01a0d8bd-9994-7fd2-9346-5bdfed653adc.jsonl,25,3150,exact,exact,exact,exact,exact,exact,exact,exact,exact
