project,lineage,arm,step,ctx_start,turns,tools,inp,cc,cr,out,usd,est
p1,A-s1,A,COMPACT#1,0,1,0,0,0,0,0,0.0,
p1,A-s1,A,R1P1,41454,16,15,130,44979,858194,12891,0.20662815,
p1,A-s1,A,R1P2,64661,1,0,10,41522,23129,951,0.0589804,
p1,A-s1,A,R1P3,65645,20,19,162,26866,1616222,15045,0.2705917,
p1,A-s1,A,R1P4,92279,13,12,106,6465,1238369,3259,0.14831915,
p1,A-s1,A,R1P5,98612,4,3,34,6040,400718,4117,0.0682408,
p1,A-s1,A,work:WB1,104778,14,13,114,13063,1553829,8513,0.21439065,
p1,A-s1,A,R1P6,118246,7,6,58,124386,727188,4118,0.2488493,
p1,A-s1,A,work:W2-W3+band,124898,33,31,268,35362,4548602,15202,0.5753406999999999,
p1,A-s1,A,COMPACT#2,152455,2,0,0,0,152455,2926,0.0298755,1
p1,A-s1,A,R2P1,38920,1,0,10,15781,23129,626,0.02517915,
p1,A-s1,A,R2P2,39650,4,3,34,23507,147910,1973,0.05407375,
p1,A-s1,A,R2P3,47812,24,23,194,17114,1372358,9766,0.2076523,
p1,A-s1,A,R2P4,64394,19,18,154,53378,1296240,8320,0.2381005,
p1,A-s1,A,R2P5,77181,15,14,122,8266,1211643,3958,0.15140879999999998,
p1,A-s1,A,R2P6,85629,8,7,66,3876,697442,1676,0.0830352,
p1,A-s1,A,work:H5-H8 band,94832,17,16,138,85966,1648724,7842,0.3116779,
p1,A-s1,A,COMPACT#3,106615,1,0,0,0,106615,2827,0.0247965,1
p1,A-s1,A,R3P1,43569,7,6,58,24097,296096,1976,0.06966885,
p1,A-s1,A,R3P2,49568,1,0,10,823,48735,1599,0.01390725,
p1,A-s1,A,R3P3,51238,7,6,58,10477,387129,3996,0.07184715,
p1,A-s1,A,R3P4,60275,18,17,146,15957,1241769,8872,0.18862915000000002,
p1,A-s1,A,R3P5,76275,11,10,90,8114,879544,5541,0.1258919,
p1,A-s1,A,R3P6,84362,2,1,18,512,168458,546,0.0202338,
p1,A-s2,A,COMPACT#1,0,1,0,0,0,0,0,0.0,
p1,A-s2,A,R1P1,41460,1,0,10,22586,18864,892,0.0345889,
p1,A-s2,A,R1P2,42391,1,0,10,19249,23132,1252,0.03264445,
p1,A-s2,A,R1P3,43676,1,0,10,1285,42381,2093,0.01631935,
p1,A-s2,A,R1P4,45980,21,20,170,17841,1147486,5962,0.16702985,
p1,A-s2,A,R1P5,62033,10,9,82,7225,656716,3380,0.09168485000000001,
p1,A-s2,A,work:WB1,69437,1,0,10,695,68732,832,0.011911950000000001,
p1,A-s2,A,R1P6,70561,9,8,74,82237,619195,6562,0.19759975,
p1,A-s2,A,work:W2-W3+band,82728,6,0,60,65125,447850,6101,0.15675625,
p1,A-s2,A,COMPACT#2,88267,2,0,0,0,88267,2360,0.0206267,1
p1,A-s2,A,R2P1,41081,6,5,50,26732,253384,3211,0.07485839999999999,
p1,A-s2,A,R2P2,50739,1,0,10,27597,23132,1278,0.043209449999999996,
p1,A-s2,A,R2P3,52054,14,13,114,14367,830813,6908,0.13569404999999998,
p1,A-s2,A,R2P4,65855,20,19,162,14887,1474052,7504,0.20369595000000001,
p1,A-s2,A,R2P5,80653,14,13,114,8651,1184647,3887,0.14882745,
p1,A-s2,A,R2P6,89431,1,0,10,0,89421,860,0.013252100000000001,
p1,A-s2,A,work:H5-H8 band,95834,13,12,106,87765,1272701,7541,0.27478735,
p1,A-s2,A,COMPACT#3,108414,1,0,0,0,108414,2976,0.025721400000000002,1
p1,A-s2,A,R3P1,45186,3,2,26,22545,115507,1358,0.04654795,
p1,A-s2,A,R3P2,48065,1,0,10,872,47183,948,0.0105583,
p1,A-s2,A,R3P3,49084,21,20,170,15133,1193102,6416,0.17047645,
p1,A-s2,A,R3P4,63428,21,20,170,11074,1440901,6666,0.1914326,
p1,A-s2,A,R3P5,74528,13,12,106,10813,1047107,6355,0.15010795000000002,
p1,A-s2,A,R3P6,85587,3,2,26,1393,256484,854,0.03168565,
p1,A-s3,A,COMPACT#1,0,1,0,0,0,0,0,0.0,
p1,A-s3,A,R1P1,41466,27,26,218,47677,1547979,15118,0.29020215000000005,
p1,A-s3,A,R1P2,67407,1,0,10,44262,23135,810,0.061701,
p1,A-s3,A,R1P3,68250,27,26,218,22795,2181003,13848,0.31605205000000003,
p1,A-s3,A,R1P4,91103,17,16,138,9150,1629977,5053,0.19983820000000002,
