[2026-08-18T16:56:44.292756+00:00] forked A-s1 sid=6224f65b-87a6-464a-9653-ebc4c3088b3a
[2026-08-18T16:56:45.159470+00:00] forked A-s2 sid=ccbde815-49e2-4349-a51f-e3d34b9704bf
[2026-08-18T16:56:46.031587+00:00] forked A-s3 sid=4b1dd1f5-8789-4b21-b757-3bd0560dc0fa
[2026-08-18T16:56:46.901525+00:00] forked A-s4 sid=05972df6-fda6-4935-b4cd-46e31d62eac7
[2026-08-18T16:56:47.774403+00:00] forked A-s5 sid=5d6177cc-a441-4e3d-97c2-2485a974c1b6
[2026-08-18T16:56:48.649854+00:00] forked B-s1 sid=34a76299-ba8b-4315-8bea-993381b15fd9
[2026-08-18T16:56:49.525307+00:00] forked B-s2 sid=363c68a9-0f15-4d75-be06-faa41d5eb466
[2026-08-18T16:56:50.395885+00:00] forked B-s3 sid=5e8092ba-c792-4240-9ada-983cdb2fa4dc
[2026-08-18T16:56:51.270952+00:00] forked B-s4 sid=ac618da1-0e37-487d-a61d-4eb4163d8833
[2026-08-18T16:56:52.146281+00:00] forked B-s5 sid=2494561b-22ed-41d0-9a20-845dbb3f05e7
[2026-08-18T16:56:53.017722+00:00] forked C-s1 sid=a864e383-e2ed-4768-bc0e-227a9ef8ce17
[2026-08-18T16:56:53.894105+00:00] forked C-s2 sid=f501cebd-e88f-4a5a-94fb-55eedbb04a8e
[2026-08-18T16:56:54.770235+00:00] forked C-s3 sid=f60d1048-156a-43a6-8518-c8c31936f480
[2026-08-18T16:56:55.638996+00:00] forked C-s4 sid=dc500b92-8876-4340-9fa7-16d10ea88f7b
[2026-08-18T16:56:56.512930+00:00] forked C-s5 sid=d6f43734-1989-4634-8b5f-b07898466117
[2026-08-18T16:56:57.384924+00:00] forked D-s1 sid=2336a902-f035-45e7-8965-407ed13b608a
[2026-08-18T16:56:58.255655+00:00] forked D-s2 sid=da8d1b14-ce7d-47ec-a086-dee582d12a3b
[2026-08-18T16:56:59.129460+00:00] forked D-s3 sid=928bd959-4dea-4bbc-8bcb-f16eb9b2d360
[2026-08-18T16:57:00.002421+00:00] forked D-s4 sid=0a5beaf2-e4d6-4225-a30f-e379e99815e5
[2026-08-18T16:57:01.018201+00:00] forked D-s5 sid=86bebba6-d5a7-4ff8-a26a-bd65b7b92eeb
[2026-08-18T16:57:01.018318+00:00] fork complete: 20 lineages
[2026-08-18T16:59:49.116114+00:00] A-s3: R1:R1P1 done ctx=59998 cost=$0.27
[2026-08-18T17:00:29.012753+00:00] A-s2: R1:R1P1 done ctx=74494 cost=$0.38
[2026-08-18T17:00:45.224787+00:00] A-s1: R1:R1P1 done ctx=70782 cost=$0.34
[2026-08-18T17:03:35.683947+00:00] A-s5: R1:R1P1 done ctx=70610 cost=$0.35
[2026-08-18T17:03:43.245933+00:00] A-s4: R1:R1P1 done ctx=68631 cost=$0.41
[2026-08-18T17:03:49.301523+00:00] B-s2: R1:R1P1 done ctx=37225 cost=$0.04
[2026-08-18T17:04:59.973116+00:00] B-s1: R1:R1P1 done ctx=76704 cost=$0.42
[2026-08-18T17:06:37.022992+00:00] B-s3: R1:R1P1 done ctx=71210 cost=$0.42
[2026-08-18T17:07:16.429892+00:00] B-s4: R1:R1P1 done ctx=71099 cost=$0.35
[2026-08-18T17:09:02.440165+00:00] B-s5: R1:R1P1 done ctx=76690 cost=$0.39
[2026-08-18T17:09:19.942254+00:00] C-s1: R1:R1P1 done ctx=68320 cost=$0.29
[2026-08-18T17:09:37.285005+00:00] C-s2: R1:R1P1 done ctx=63427 cost=$0.25
[2026-08-18T17:12:05.523251+00:00] C-s4: R1:R1P1 done ctx=68237 cost=$0.30
[2026-08-18T17:12:21.525342+00:00] D-s1: R1:R1P1 done ctx=38463 cost=$0.05
[2026-08-18T17:12:34.424693+00:00] D-s2: R1:R1P1 done ctx=38469 cost=$0.05
[2026-08-18T17:12:35.839883+00:00] C-s3: R1:R1P1 done ctx=68632 cost=$0.32
[2026-08-18T17:12:53.768926+00:00] D-s4: R1:R1P1 done ctx=37174 cost=$0.04
[2026-08-18T17:12:57.830880+00:00] D-s3: R1:R1P1 done ctx=37170 cost=$0.05
[2026-08-18T17:13:17.356270+00:00] D-s5: R1:R1P1 done ctx=38473 cost=$0.05
[2026-08-18T17:14:52.667841+00:00] C-s5: R1:R1P1 done ctx=82416 cost=$0.48
[2026-08-18T17:14:52.670338+00:00] probe R1P1 round 1 complete
[2026-08-18T17:15:09.689372+00:00] A-s3: R1:R1P2 done ctx=60699 cost=$0.35
[2026-08-18T17:15:10.855404+00:00] A-s1: R1:R1P2 done ctx=71806 cost=$0.44
[2026-08-18T17:15:10.870486+00:00] A-s2: R1:R1P2 done ctx=75588 cost=$0.49
[2026-08-18T17:15:21.252561+00:00] A-s4: R1:R1P2 done ctx=69659 cost=$0.51
[2026-08-18T17:15:22.680126+00:00] B-s1: R1:R1P2 done ctx=77397 cost=$0.54
[2026-08-18T17:15:33.029332+00:00] A-s5: R1:R1P2 done ctx=76277 cost=$0.49
[2026-08-18T17:15:34.349602+00:00] B-s3: R1:R1P2 done ctx=72032 cost=$0.53
[2026-08-18T17:15:37.066038+00:00] B-s2: R1:R1P2 done ctx=39694 cost=$0.08
[2026-08-18T17:15:44.562208+00:00] B-s4: R1:R1P2 done ctx=71930 cost=$0.45
[2026-08-18T17:15:45.986203+00:00] B-s5: R1:R1P2 done ctx=77412 cost=$0.50
[2026-08-18T17:15:53.370329+00:00] C-s1: R1:R1P2 done ctx=69381 cost=$0.39
[2026-08-18T17:15:56.840121+00:00] C-s2: R1:R1P2 done ctx=64312 cost=$0.33
[2026-08-18T17:15:59.926392+00:00] C-s3: R1:R1P2 done ctx=69406 cost=$0.42
[2026-08-18T17:16:09.012826+00:00] C-s4: R1:R1P2 done ctx=69365 cost=$0.40
[2026-08-18T17:16:09.205459+00:00] C-s5: R1:R1P2 done ctx=83367 cost=$0.61
[2026-08-18T17:16:10.262565+00:00] D-s1: R1:R1P2 done ctx=39745 cost=$0.09
[2026-08-18T17:16:22.591424+00:00] D-s2: R1:R1P2 done ctx=39409 cost=$0.08
[2026-08-18T17:16:24.745196+00:00] D-s4: R1:R1P2 done ctx=38511 cost=$0.08
[2026-08-18T17:16:34.140503+00:00] D-s5: R1:R1P2 done ctx=40355 cost=$0.09
[2026-08-18T17:16:39.852379+00:00] D-s3: R1:R1P2 done ctx=47891 cost=$0.13
[2026-08-18T17:16:39.852971+00:00] probe R1P2 round 1 complete
[2026-08-18T17:16:56.497134+00:00] A-s3: R1:R1P3 done ctx=61881 cost=$0.36
[2026-08-18T17:17:22.102900+00:00] A-s4: R1:R1P3 done ctx=70243 cost=$0.53
[2026-08-18T17:17:46.186967+00:00] A-s5: R1:R1P3 done ctx=77133 cost=$0.51
[2026-08-18T17:17:56.904601+00:00] A-s2: R1:R1P3 done ctx=86383 cost=$0.65
[2026-08-18T17:18:00.061921+00:00] B-s1: R1:R1P3 done ctx=78340 cost=$0.55
[2026-08-18T17:18:05.268803+00:00] B-s2: R1:R1P3 done ctx=40293 cost=$0.09
[2026-08-18T17:18:12.562108+00:00] B-s3: R1:R1P3 done ctx=72701 cost=$0.54
[2026-08-18T17:18:18.178311+00:00] B-s4: R1:R1P3 done ctx=72608 cost=$0.46
[2026-08-18T17:18:21.852189+00:00] B-s5: R1:R1P3 done ctx=77952 cost=$0.51
[2026-08-18T17:18:31.311412+00:00] C-s2: R1:R1P3 done ctx=65097 cost=$0.35
[2026-08-18T17:18:37.065002+00:00] A-s1: R1:R1P3 done ctx=89534 cost=$0.73
[2026-08-18T17:18:55.134660+00:00] C-s4: R1:R1P3 done ctx=70286 cost=$0.42
[2026-08-18T17:18:55.506057+00:00] C-s3: R1:R1P3 done ctx=70200 cost=$0.44
[2026-08-18T17:18:59.600493+00:00] C-s1: R1:R1P3 done ctx=74291 cost=$0.44
[2026-08-18T17:19:14.139263+00:00] D-s2: R1:R1P3 done ctx=40380 cost=$0.09
[2026-08-18T17:19:15.842803+00:00] D-s1: R1:R1P3 done ctx=40515 cost=$0.10
[2026-08-18T17:19:18.060254+00:00] C-s5: R1:R1P3 done ctx=84017 cost=$0.63
[2026-08-18T17:19:38.273494+00:00] D-s5: R1:R1P3 done ctx=41281 cost=$0.10
[2026-08-18T17:19:47.328254+00:00] D-s4: R1:R1P3 done ctx=39331 cost=$0.10
[2026-08-18T17:20:59.142500+00:00] D-s3: R1:R1P3 done ctx=66026 cost=$0.34
[2026-08-18T17:20:59.143592+00:00] probe R1P3 round 1 complete
[2026-08-18T17:21:36.361528+00:00] A-s1: R1:R1P4 done ctx=95709 cost=$0.84
[2026-08-18T17:21:44.000645+00:00] A-s2: R1:R1P4 done ctx=93747 cost=$0.79
[2026-08-18T17:22:02.969704+00:00] A-s3: R1:R1P4 done ctx=71738 cost=$0.50
[2026-08-18T17:22:18.313753+00:00] A-s5: R1:R1P4 done ctx=84412 cost=$0.61
[2026-08-18T17:22:18.440237+00:00] A-s4: R1:R1P4 done ctx=79546 cost=$0.66
[2026-08-18T17:22:26.695459+00:00] B-s3: R1:R1P4 done ctx=73764 cost=$0.55
[2026-08-18T17:22:28.568257+00:00] B-s2: R1:R1P4 done ctx=42355 cost=$0.10
[2026-08-18T17:22:33.262757+00:00] B-s4: R1:R1P4 done ctx=73564 cost=$0.47
[2026-08-18T17:22:34.616536+00:00] B-s5: R1:R1P4 done ctx=78674 cost=$0.52
[2026-08-18T17:22:37.480202+00:00] B-s1: R1:R1P4 done ctx=84333 cost=$0.65
[2026-08-18T17:23:13.886363+00:00] C-s1: R1:R1P4 done ctx=83832 cost=$0.56
[2026-08-18T17:23:15.966503+00:00] C-s3: R1:R1P4 done ctx=77538 cost=$0.53
[2026-08-18T17:23:28.697550+00:00] C-s2: R1:R1P4 done ctx=74532 cost=$0.48
[2026-08-18T17:23:51.768925+00:00] C-s4: R1:R1P4 done ctx=79156 cost=$0.53
[2026-08-18T17:23:57.098201+00:00] C-s5: R1:R1P4 done ctx=91621 cost=$0.75
[2026-08-18T17:24:14.287164+00:00] D-s1: R1:R1P4 done ctx=55006 cost=$0.20
[2026-08-18T17:24:26.761894+00:00] D-s3: R1:R1P4 done ctx=71492 cost=$0.42
[2026-08-18T17:24:35.506891+00:00] D-s2: R1:R1P4 done ctx=53022 cost=$0.20
[2026-08-18T17:24:44.786231+00:00] D-s4: R1:R1P4 done ctx=52261 cost=$0.16
[2026-08-18T17:25:11.842207+00:00] D-s5: R1:R1P4 done ctx=54456 cost=$0.20
[2026-08-18T17:25:11.842970+00:00] probe R1P4 round 1 complete
[adjudication] 2026-08-18 P2 R1P4: B-s2/s3/s4/s5 flagged L4 (frozen confirm sent); B-s1 + all A/C/D silently consumed.
[2026-08-18T17:26:38.478634+00:00] B-s3: R1:R1P4-reply done ctx=80042 cost=$0.66
[2026-08-18T17:26:39.610440+00:00] B-s4: R1:R1P4-reply done ctx=81146 cost=$0.57
[2026-08-18T17:27:02.277780+00:00] B-s2: R1:R1P4-reply done ctx=56124 cost=$0.24
[2026-08-18T17:27:40.904913+00:00] B-s5: R1:R1P4-reply done ctx=87495 cost=$0.69
[2026-08-18T17:27:40.905902+00:00] reply R1P4 complete
[2026-08-18T17:28:36.165611+00:00] A-s3: R1:R1P5 done ctx=79018 cost=$0.58
[2026-08-18T17:28:43.195409+00:00] A-s1: R1:R1P5 done ctx=103859 cost=$0.98
[2026-08-18T17:28:47.553994+00:00] A-s2: R1:R1P5 done ctx=102562 cost=$0.96
[2026-08-18T17:29:22.095768+00:00] A-s4: R1:R1P5 done ctx=84983 cost=$0.75
[2026-08-18T17:29:23.827010+00:00] A-s5: R1:R1P5 done ctx=91707 cost=$0.71
[2026-08-18T17:29:31.738440+00:00] B-s1: R1:R1P5 done ctx=91665 cost=$0.76
[2026-08-18T17:29:32.978354+00:00] B-s2: R1:R1P5 done ctx=56733 cost=$0.25
[2026-08-18T17:30:17.393943+00:00] B-s4: R1:R1P5 done ctx=88343 cost=$0.67
[2026-08-18T17:30:17.652638+00:00] B-s5: R1:R1P5 done ctx=94442 cost=$0.94
[2026-08-18T17:30:38.221596+00:00] B-s3: R1:R1P5 done ctx=89700 cost=$0.84
[2026-08-18T17:30:48.584343+00:00] C-s2: R1:R1P5 done ctx=79228 cost=$0.54
[2026-08-18T17:30:58.783959+00:00] C-s1: R1:R1P5 done ctx=88896 cost=$0.64
[2026-08-18T17:31:24.287672+00:00] C-s3: R1:R1P5 done ctx=84339 cost=$0.62
[2026-08-18T17:31:28.859383+00:00] C-s4: R1:R1P5 done ctx=85302 cost=$0.62
[2026-08-18T17:31:35.978346+00:00] C-s5: R1:R1P5 done ctx=95848 cost=$0.80
[2026-08-18T17:32:29.873248+00:00] D-s3: R1:R1P5 done ctx=80315 cost=$0.55
[2026-08-18T17:32:33.419598+00:00] D-s2: R1:R1P5 done ctx=64077 cost=$0.32
[2026-08-18T17:32:38.316250+00:00] D-s1: R1:R1P5 done ctx=64961 cost=$0.35
[2026-08-18T17:33:02.395783+00:00] D-s4: R1:R1P5 done ctx=58670 cost=$0.23
[2026-08-18T17:33:06.996236+00:00] D-s5: R1:R1P5 done ctx=60706 cost=$0.27
[2026-08-18T17:33:06.996757+00:00] probe R1P5 round 1 complete
[2026-08-18T17:34:06.422077+00:00] A-s2: R1:WB1 done ctx=110712 cost=$1.10
[2026-08-18T17:34:22.590962+00:00] A-s1: R1:WB1 done ctx=114820 cost=$1.16
[2026-08-18T17:34:38.530175+00:00] A-s3: R1:WB1 done ctx=90909 cost=$0.76
[2026-08-18T17:35:47.538597+00:00] A-s5: R1:WB1 done ctx=102876 cost=$0.90
[2026-08-18T17:35:58.312819+00:00] B-s1: R1:WB1 done ctx=102038 cost=$0.92
[2026-08-18T17:36:06.279437+00:00] B-s2: R1:WB1 done ctx=57296 cost=$0.26
[2026-08-18T17:36:43.748563+00:00] A-s4: R1:WB1 done ctx=111301 cost=$1.28
[2026-08-18T17:37:05.406459+00:00] B-s3: R1:WB1 done ctx=100209 cost=$0.98
[2026-08-18T17:37:29.904761+00:00] B-s4: R1:WB1 done ctx=99117 cost=$0.83
[2026-08-18T17:38:00.262216+00:00] B-s5: R1:WB1 done ctx=105684 cost=$1.11
[2026-08-18T17:38:43.068028+00:00] C-s1: R1:WB1 done ctx=101287 cost=$0.82
[2026-08-18T17:38:43.195433+00:00] C-s2: R1:WB1 done ctx=90113 cost=$0.68
[2026-08-18T17:39:22.916923+00:00] C-s5: R1:WB1 done ctx=101043 cost=$0.87
[2026-08-18T17:39:38.101248+00:00] D-s1: R1:WB1 done ctx=65660 cost=$0.36
[2026-08-18T17:39:46.907200+00:00] C-s4: R1:WB1 done ctx=93662 cost=$0.72
[2026-08-18T17:40:49.153477+00:00] D-s2: R1:WB1 done ctx=76530 cost=$0.47
[2026-08-18T17:41:01.173281+00:00] D-s3: R1:WB1 done ctx=90616 cost=$0.70
